,departamento,ID,lat,lon,in_departamentos,empleo,clae2,clae2_desc,empleo_rep
123459,Almirante Brown,60161616716685281864545451235028,-34.822,-58.392,6028,c. 50-199,85,Enseñanza,125
123460,Almirante Brown,602525252G0GG8PM2G454545582028,-34.83,-58.39,6028,c. 50-199,85,Enseñanza,125
123461,Almirante Brown,6044444412P20072GG8585854025028,-34.829,-58.388,6028,c. 50-199,85,Enseñanza,125
123464,Almirante Brown,610000002M8807G57G1919199279028,-34.803,-58.402,6028,b. 10-49,85,Enseñanza,25
123465,Almirante Brown,6100000070P12PP02G4040403463028,-34.803,-58.401,6028,c. 50-199,85,Enseñanza,125
123466,Almirante Brown,61040404267G6052GG1515154082028,-34.806,-58.4,6028,c. 50-199,85,Enseñanza,125
123467,Almirante Brown,610404042M86G12G1G1919192206028,-34.792,-58.394,6028,c. 50-199,85,Enseñanza,125
123468,Almirante Brown,61040404P008055M7P2424246442028,-34.896,-58.383,6028,b. 10-49,85,Enseñanza,25
123470,Almirante Brown,61252525267G60G62G1515151997028,-34.889,-58.391,6028,c. 50-199,85,Enseñanza,125
123471,Almirante Brown,614141416MP702P766M751717175782028,-34.826,-58.409,6028,b. 10-49,85,Enseñanza,25
123472,Almirante Brown,6156565612P8M2808G8585853082028,-34.797,-58.397,6028,c. 50-199,85,Enseñanza,125
123473,Almirante Brown,61767676267GG10PPG1515159780028,-34.791,-58.378,6028,c. 50-199,85,Enseñanza,125
123475,Almirante Brown,620000002MMP6G56762020203672028,-34.791,-58.377,6028,b. 10-49,85,Enseñanza,25
123476,Almirante Brown,62010101P068M8127G3737372133028,-34.854,-58.391,6028,c. 50-199,85,Enseñanza,125
123477,Almirante Brown,62212121267G6G81MG1515152041028,-34.781,-58.359,6028,b. 10-49,85,Enseñanza,25
123479,Almirante Brown,622121216GPM076M2G2727272517028,-34.785,-58.369,6028,c. 50-199,85,Enseñanza,125
123483,Almirante Brown,6249494952M0P020MG6969695682028,-34.804,-58.335,6028,c. 50-199,85,Enseñanza,125
123486,Almirante Brown,626969697M12MP286G5050509905028,-34.811,-58.358,6028,b. 10-49,85,Enseñanza,25
123490,Almirante Brown,6304040452855G6P0G6969696456028,-34.803,-58.333,6028,c. 50-199,85,Enseñanza,125
123491,Almirante Brown,630909092GM87775GG1414143151028,-34.808,-58.398,6028,b. 10-49,85,Enseñanza,25
123492,Almirante Brown,6316161675266587554646461782028,-34.883,-58.378,6028,c. 50-199,85,Enseñanza,125
123493,Almirante Brown,634444442MMP6G567G2020206491028,-34.791,-58.377,6028,c. 50-199,85,Enseñanza,125
123494,Almirante Brown,63444444580881082667501010106458028,-34.828,-58.396,6028,b. 10-49,85,Enseñanza,25
123495,Almirante Brown,638181816GPGM01MG55858581308028,-34.89,-58.39,6028,b. 10-49,85,Enseñanza,25
123497,Almirante Brown,64000000267G8GPGGG1515151510028,-34.797,-58.383,6028,c. 50-199,85,Enseñanza,125
123498,Almirante Brown,640000006GPGM01MGG5757572991028,-34.89,-58.39,6028,c. 50-199,85,Enseñanza,125
123499,Almirante Brown,640101016511G02216M701313131963028,-34.788,-58.351,6028,c. 50-199,85,Enseñanza,125
123500,Almirante Brown,6416161612M2GG522G4444446497028,-34.801,-58.382,6028,c. 50-199,85,Enseñanza,125
123504,Almirante Brown,64444444P00P7G66P62323234177028,-34.789,-58.393,6028,c. 50-199,85,Enseñanza,125
123506,Almirante Brown,6489898925P55P157G1414149285028,-34.795,-58.354,6028,c. 50-199,85,Enseñanza,125
123507,Almirante Brown,6501010175M0G872654747475694028,-34.861,-58.392,6028,b. 10-49,85,Enseñanza,25
123508,Almirante Brown,65616161276P16562G1616167601028,-34.817,-58.379,6028,c. 50-199,85,Enseñanza,125
123509,Almirante Brown,65616161P0PP2P71M53030309986028,-34.792,-58.391,6028,c. 50-199,85,Enseñanza,125
123510,Almirante Brown,65818181P076G18M7G4040402940028,-34.808,-58.398,6028,c. 50-199,85,Enseñanza,125
123511,Almirante Brown,660000001G0075M75G9696969493028,-34.816,-58.389,6028,c. 50-199,85,Enseñanza,125
123512,Almirante Brown,66090909220180002G454545380028,-34.83,-58.383,6028,c. 50-199,85,Enseñanza,125
123513,Almirante Brown,6621212117205MG70G1010106826028,-34.828,-58.396,6028,c. 50-199,85,Enseñanza,125
123516,Almirante Brown,664949491P0520P0671G71616162281028,-34.859,-58.38,6028,b. 10-49,85,Enseñanza,25
123517,Almirante Brown,6669696928GP1520PG171717329028,-34.864,-58.38,6028,c. 50-199,85,Enseñanza,125
123519,Almirante Brown,66969696P0PG1625PG3030309682028,-34.82,-58.367,6028,c. 50-199,85,Enseñanza,125
123522,Almirante Brown,673636362MM521002G2121212987028,-34.805,-58.347,6028,c. 50-199,85,Enseñanza,125
123523,Almirante Brown,67696969175M85MM254444441959028,-34.797,-58.357,6028,c. 50-199,85,Enseñanza,125
123526,Almirante Brown,68090909P008055M7G2424248871028,-34.89,-58.383,6028,c. 50-199,85,Enseñanza,125
123527,Almirante Brown,682121216PM1GG1P6G3737371683028,-34.792,-58.329,6028,b. 10-49,85,Enseñanza,25
123528,Almirante Brown,68252525267G6557GG1515155997028,-34.861,-58.388,6028,c. 50-199,85,Enseñanza,125
123529,Almirante Brown,682929291M5070PG2G4444443518028,-34.825,-58.384,6028,b. 10-49,85,Enseñanza,25
123531,Almirante Brown,6836363652M0P020MP6969695996028,-34.795,-58.318,6028,b. 10-49,85,Enseñanza,25
123532,Almirante Brown,684141412P6682178G1313135220028,-34.852,-58.385,6028,c. 50-199,85,Enseñanza,125
