,departamento,ID,lat,lon,in_departamentos,empleo,clae2,clae2_desc,empleo_rep
97144,Almirante Brown,6089898958772252P6M6M1010105624028,-34.801,-58.398,6028,d. 200-499,86,Servicios de salud humana,350
97145,Almirante Brown,61000000P00G7255252323233623028,-34.807,-58.335,6028,b. 10-49,86,Servicios de salud humana,25
97149,Almirante Brown,62252525P07G8M285G4040405792028,-34.799,-58.354,6028,b. 10-49,86,Servicios de salud humana,25
97162,Almirante Brown,646464645G6676M176M6M4444446156028,-34.796,-58.403,6028,c. 50-199,86,Servicios de salud humana,125
97166,Almirante Brown,65252525P005P78M0G2323232886028,-34.814,-58.353,6028,b. 10-49,86,Servicios de salud humana,25
97171,Almirante Brown,664444442281P7812G454545354028,-34.795,-58.356,6028,b. 10-49,86,Servicios de salud humana,25
97181,Almirante Brown,69000000P07P26650G3939394242028,-34.785,-58.377,6028,b. 10-49,86,Servicios de salud humana,25
97211,Avellaneda,60565656P0002525P5222222914035,-34.661,-58.361,6035,c. 50-199,86,Servicios de salud humana,125
97213,Avellaneda,61252525P0662MPP153636363944035,-34.661,-58.365,6035,b. 10-49,86,Servicios de salud humana,25
97221,Avellaneda,62414141P028P51G7G2929298783035,-34.685,-58.347,6035,b. 10-49,86,Servicios de salud humana,25
97224,Avellaneda,626464647085MP5576MMP4646467090035,-34.665,-58.377,6035,d. 200-499,86,Servicios de salud humana,350
97237,Avellaneda,656969692M8M72G66G1919197450035,-34.663,-58.36,6035,b. 10-49,86,Servicios de salud humana,25
97238,Avellaneda,660000006186MG280G3636366286035,-34.691,-58.339,6035,b. 10-49,86,Servicios de salud humana,25
97239,Avellaneda,6621212177P68G508753333332035,-34.676,-58.364,6035,b. 10-49,86,Servicios de salud humana,25
97243,Avellaneda,666969698GG886M51G1313138523035,-34.663,-58.359,6035,b. 10-49,86,Servicios de salud humana,25
97245,Avellaneda,669696962MM258P11G2020204413035,-34.667,-58.357,6035,b. 10-49,86,Servicios de salud humana,25
97252,Avellaneda,674444442P6PP7P7PG1313136255035,-34.663,-58.368,6035,b. 10-49,86,Servicios de salud humana,25
97549,Berazategui,65010101P057M6215G3333335769091,-34.76,-58.214,6091,c. 50-199,86,Servicios de salud humana,125
97556,Berazategui,683636362MMG0G76G22020205370091,-34.763,-58.212,6091,b. 10-49,86,Servicios de salud humana,25
97558,Berazategui,69212121P01M1P81GG2626267186091,-34.765,-58.216,6091,c. 50-199,86,Servicios de salud humana,125
97559,Berazategui,6961616166081080G25M1414142023091,-34.759,-58.206,6091,b. 10-49,86,Servicios de salud humana,25
97564,Berisso,65696969P081M751MG4242428370098,-34.87,-57.88,6098,c. 50-199,86,Servicios de salud humana,125
